COS18n1_L;Espaços descobertos ou com pouca vegetação;Territórios artificializados;Pastagens;Florestas;Agricultura;Matos;Massas de água superficiais;Superfícies agroflorestais (SAF);DICOFRE
União das freguesias de Sande São Lourenço e Balazar;;15.6541;0.4975;46.9892;33.2649;3.5935;;;030886
Sande (São Martinho);;28.7549;0.9908;29.2088;39.6211;1.42;0.0025;;030858
Ruilhe;;28.4872;;37.3457;33.4131;0.7528;;;030338
União das freguesias de Leitões Oleiros e Figueiredo;1.1632;12.493;;51.6729;28.7849;5.8849;;;030883
Cruz;;26.7133;;36.8254;34.9514;1.5065;;;031212
Brito;;35.6677;;26.3888;26.7214;10.1005;1.1198;;030807
Esporões;;17.9915;;54.2828;26.0344;1.6891;;;030313
Ribeirão;;37.7211;1.156;26.4971;31.7615;2.1948;0.6669;;031235
Delães;;46.5047;;13.8586;33.0966;5.62;0.9176;;031213
Barcelinhos;;38.3452;0.8368;20.3751;33.6521;1.7871;5.0006;;030213
União das freguesias de Barcelos Vila Boa e Vila Frescainha (São Martinho e São Pedro);;46.0276;0.2596;21.0417;28.4715;2.2329;1.9625;;030293
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;;22.6483;;40.8509;35.0991;1.3997;;;031251
Gavião;;46.2398;;17.1845;32.8845;3.6896;;;031216
União das freguesias de Vilaça e Fradelos;;40.1125;;23.0188;33.5708;3.2955;;;030381
União das freguesias de Vale (São Cosme) Telhado e Portela;;25.019;;44.9869;28.7096;1.2821;;;031259
União das freguesias de Seide;;32.4664;;18.8697;46.3085;2.3551;;;031258
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;;10.0047;;73.4287;14.4896;2.0721;;;0302FF
Selho (São Cristóvão);;26.0714;;37.209;17.6367;19.0823;;;030850
Paradela;;6.9343;;43.2321;47.4504;2.3775;;;030257
Vila Seca;;22.0458;;20.4944;57.4546;;;;030287
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;2.0114;13.0633;;49.8858;29.1787;5.8598;;;030880
Louro;;23.14;;19.0733;56.7135;1.0704;;;031223
Tamel (São Veríssimo);;46.9089;;12.4408;32.6733;5.603;2.3716;;030277
Braga (São Vicente);;63.1447;;25.6074;1.9397;9.3078;;;030349
União das freguesias de Abação e Gémeos;;19.1454;;43.7306;32.4377;4.6853;;;030875
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;;11.3286;0.3029;53.3462;34.8545;0.1638;;;030291
Aldão;;30.8458;;33.0059;33.7519;2.3964;;;030801
União das freguesias de Antas e Abade de Vermoim;;52.0151;;17.0758;27.4914;3.4161;;;031250
União das freguesias de Arentim e Cunha;;17.0614;;44.1394;38.5699;;;0.2272;030363
